label	url
Federated International Management Limited	/fonds/fondgesellschaften/3158
Feri Trust (Luxembourg) S.A.	/fonds/fondgesellschaften/3358
Fidecum SICAV	/fonds/fondgesellschaften/3520
Fidelity Active STrategy SICAV	/fonds/fondgesellschaften/3084
Fidelity Funds II SICAV	/fonds/fondgesellschaften/3445
Fidelity Funds SICAV	/fonds/fondgesellschaften/3294
Fidelity Institutional Liquidity Fund plc	/fonds/fondgesellschaften/3442
Fidelity Investment Management GmbH	/fonds/fondgesellschaften/746
FINANCIERE DE L’ECHIQUIER	/fonds/fondgesellschaften/3490
Financière de l’Echiquier	/fonds/fondgesellschaften/3519
First Private Investment Management KAG mbH	/fonds/fondgesellschaften/799
First State Investments ICVC	/fonds/fondgesellschaften/618
FISCH FUND SERVICES AG	/fonds/fondgesellschaften/3014
Flossbach von Storch Invest S.A.	/fonds/fondgesellschaften/3456
Flossbach von Storch SICAV	/fonds/fondgesellschaften/3575
FondsSelector SMR Sicav	/fonds/fondgesellschaften/491
Forum One SICAV	/fonds/fondgesellschaften/3576
FPM Deutsche Investmentaktiengesellschaft mTGV	/fonds/fondgesellschaften/3073
FPM Funds SICAV	/fonds/fondgesellschaften/3370
Frankfurt Trust Invest AG	/fonds/fondgesellschaften/385
Frankfurt Trust Invest Luxemburg AG	/fonds/fondgesellschaften/527
FRANKFURT-TRUST Investment-Gesellschaft mbH	/fonds/fondgesellschaften/3124
FRANKFURT-TRUST Investment-Gesellschaft mbH	/fonds/fondgesellschaften/3123
Franklin Templeton	/fonds/fondgesellschaften/415
G&P SICAV	/fonds/fondgesellschaften/573
GAM	/fonds/fondgesellschaften/511
GAM Investment Management (Switzerland) AG	/fonds/fondgesellschaften/3568
GAM Star Fund p.l.c.	/fonds/fondgesellschaften/3209
Gamax Management AG	/fonds/fondgesellschaften/422
Gartmore	/fonds/fondgesellschaften/481
Gartmore SICAV	/fonds/fondgesellschaften/522
Generali Fund Management S.A.	/fonds/fondgesellschaften/3120
Generali Investments Deutschland	/fonds/fondgesellschaften/557
Generali Investments Europe S.p.A.	/fonds/fondgesellschaften/3418
Generali Investments Luxemburg	/fonds/fondgesellschaften/502
Generali Investments SICAV	/fonds/fondgesellschaften/3006
GENERALI Multinational Pension Solutions SICAV	/fonds/fondgesellschaften/3368
Gerling Investment KAGmbH	/fonds/fondgesellschaften/403
GLG Investments plc	/fonds/fondgesellschaften/3397
Global Advantage Funds SICAV	/fonds/fondgesellschaften/3492
Global X Funds	/fonds/fondgesellschaften/3363
Global X Management Company LLC	/fonds/fondgesellschaften/3545
GO UCITS ETF Solutions plc	/fonds/fondgesellschaften/3446
Goldman Sachs Equity Funds SICAV	/fonds/fondgesellschaften/534
Goldman Sachs Funds SICAV	/fonds/fondgesellschaften/3183
Goldman Sachs Funds, plc	/fonds/fondgesellschaften/3002
Green Effects Investment plc.	/fonds/fondgesellschaften/591
Griffin Umbrella Fund plc	/fonds/fondgesellschaften/447
GS&P Kapitalanlagegesellschaft S. A.	/fonds/fondgesellschaften/435
Guggenheim Investments	/fonds/fondgesellschaften/3417
Guinness Asset Management Funds plc	/fonds/fondgesellschaften/3584
Gutmann Kapitalanlageges. mbH	/fonds/fondgesellschaften/625
Gutzwiller Fonds Management AG	/fonds/fondgesellschaften/788
HANSAINVEST Hanseatische Investment-Gesellschaft mbH	/fonds/fondgesellschaften/423
HANSAINVEST LUX S.A.	/fonds/fondgesellschaften/3034
Hauck & Aufhäuser Investment S.A.	/fonds/fondgesellschaften/457
HELABA	/fonds/fondgesellschaften/569
HelvInvest AG	/fonds/fondgesellschaften/3199
Henderson Global Investors	/fonds/fondgesellschaften/454
Henderson Horizon SICAV	/fonds/fondgesellschaften/3097
Heptagon Capital LLP	/fonds/fondgesellschaften/3229
HSBC ETFs PLC	/fonds/fondgesellschaften/2979
HSBC Global Investment Funds SICAV	/fonds/fondgesellschaften/509
HSBC Investment Funds (Luxembourg) S.A.	/fonds/fondgesellschaften/3049
HSBC Trinkaus Investment Managers SA	/fonds/fondgesellschaften/3080
HWB InvestWorld (HWB Capital Management)	/fonds/fondgesellschaften/3506
HYPO-Kapitalanlagegesellschaft mbH	/fonds/fondgesellschaften/769
IFM Independent Fund Management AG	/fonds/fondgesellschaften/3205
IFOS Internationale Fonds Service AG	/fonds/fondgesellschaften/682
Ignis International Funds plc	/fonds/fondgesellschaften/3137
Immo Kapitalanlage AG	/fonds/fondgesellschaften/3371
ING (L) Invest	/fonds/fondgesellschaften/758
ING (L) SICAV	/fonds/fondgesellschaften/3479
ING International SICAV	/fonds/fondgesellschaften/3480
INKA	/fonds/fondgesellschaften/452
Inter-Portfolio Verwaltungsgesellschaft S.A.	/fonds/fondgesellschaften/775
International Fund Management SA	/fonds/fondgesellschaften/760
Internationale Kapitalanlagegesellschaft mbH	/fonds/fondgesellschaften/2118
Internationales Immobilien Institut	/fonds/fondgesellschaften/478
INVESCO (D)	/fonds/fondgesellschaften/442
INVESCO (IRL)	/fonds/fondgesellschaften/462
INVESCO (L)	/fonds/fondgesellschaften/483
Invesco Funds SICAV	/fonds/fondgesellschaften/3047
Invesco Global Asset Management Ltd.	/fonds/fondgesellschaften/3045
Invesco PowerShares Capital Management LLC	/fonds/fondgesellschaften/3414
Invesco PowerShares Capital Management LLC	/fonds/fondgesellschaften/3432
Investec Asset Management	/fonds/fondgesellschaften/3188
Investec Funds Series ii	/fonds/fondgesellschaften/3429
Investec Funds Series iii	/fonds/fondgesellschaften/3422
Investec Global Strategy Fund	/fonds/fondgesellschaften/3200
Investissements Fonciers S.A.	/fonds/fondgesellschaften/3234
Investmentgesellschaft für langfristige Investoren TGV	/fonds/fondgesellschaften/3413
IPConcept Fund Management S.A.	/fonds/fondgesellschaften/614
iShares ETF (CH)	/fonds/fondgesellschaften/3402
iShares II plc	/fonds/fondgesellschaften/3111
iShares III plc	/fonds/fondgesellschaften/2981
iShares IV plc	/fonds/fondgesellschaften/3037
J O Hambro Capital Management	/fonds/fondgesellschaften/765
Janus Capital Funds PLC	/fonds/fondgesellschaften/465
JPMorgan Fleming Asset Management	/fonds/fondgesellschaften/458
JPMorgan Funds SICAV	/fonds/fondgesellschaften/3329
JPMorgan Investment Funds	/fonds/fondgesellschaften/3244
JPMorgan Liquidity Funds	/fonds/fondgesellschaften/3258
Julius Baer Investment Funds	/fonds/fondgesellschaften/414
Julius Baer Multibond	/fonds/fondgesellschaften/2989
Julius Baer Multibond SICAV	/fonds/fondgesellschaften/3398
Julius Baer Multicash SICAV	/fonds/fondgesellschaften/3347
Julius Baer Multicooperation	/fonds/fondgesellschaften/2992
Julius Baer Multicooperation SICAV	/fonds/fondgesellschaften/3404
Julius Baer Multipartner SICAV	/fonds/fondgesellschaften/3366
Julius Baer Multirange SICAV	/fonds/fondgesellschaften/3400
Julius Baer Multistock	/fonds/fondgesellschaften/3184
Julius Meinl Investment Gesellschaft m.b.H.	/fonds/fondgesellschaften/3464
Jupiter Asset Management Limited	/fonds/fondgesellschaften/3256
Jupiter Unit Trust Managers Limited	/fonds/fondgesellschaften/3291
Jyske Invest Fund Management A/S	/fonds/fondgesellschaften/3362
KanAm Grund Kapitalanlagegesellschaft mbH	/fonds/fondgesellschaften/581
KAS Investment Servicing GmbH	/fonds/fondgesellschaften/3116
KBC Asset Management NV	/fonds/fondgesellschaften/3192
KBC Bonds	/fonds/fondgesellschaften/489
KBC Eco Fund	/fonds/fondgesellschaften/3497
KBC Equity Fund	/fonds/fondgesellschaften/613
KBC Renta SICAV	/fonds/fondgesellschaften/3353
Kepler-Fonds Kapitalanlagegesellschaft mbH	/fonds/fondgesellschaften/549
KR Fonds SICAV	/fonds/fondgesellschaften/3060
Lacuna SICAV	/fonds/fondgesellschaften/750
Landesbank Berlin Investment GmbH	/fonds/fondgesellschaften/388
Lazard Asset Management (Deutschland) GmbH	/fonds/fondgesellschaften/584
Lazard Global Active Funds Plc.	/fonds/fondgesellschaften/559
LB(Swiss) Investment AG	/fonds/fondgesellschaften/3095
LBBW Asset Management Investmentgesellschaft mbH	/fonds/fondgesellschaften/468
LBBW Asset Management Investmentgesellschaft mbH	/fonds/fondgesellschaften/852
Legg Mason Global Funds PLC	/fonds/fondgesellschaften/786
Legg Mason Global Solutions plc	/fonds/fondgesellschaften/3572
Legg Mason Managed Solutions Sicav	/fonds/fondgesellschaften/3102
Lemanik SICAV	/fonds/fondgesellschaften/810
LF Open Waters OP SICAV	/fonds/fondgesellschaften/3313
LGT Capital Management AG	/fonds/fondgesellschaften/3109
LGT Capital Partners (FL) AG	/fonds/fondgesellschaften/3496
LGT Fondsleitung AG	/fonds/fondgesellschaften/702
LGT Funds AGmvK	/fonds/fondgesellschaften/3113
LGT Funds SICAV	/fonds/fondgesellschaften/3569
LGT Investment Partners Ltd.	/fonds/fondgesellschaften/3191
LGT Strategy Units AGmvK	/fonds/fondgesellschaften/3276
Living Planet Fund Management Company S.A.	/fonds/fondgesellschaften/3378
LLB Fondsleitung AG	/fonds/fondgesellschaften/770
LLB Fund Services Aktiengesellschaft	/fonds/fondgesellschaften/3072
LLB Invest AGmvK	/fonds/fondgesellschaften/3070
LLB Investment Fonds UCITS IV	/fonds/fondgesellschaften/3585
Lombard Odier Funds (Europe) SA	/fonds/fondgesellschaften/3077
Lombard Odier Funds SICAV	/fonds/fondgesellschaften/3295
LONG TERM INVESTMENT FUND (SIA)	/fonds/fondgesellschaften/3019
Loys SICAV	/fonds/fondgesellschaften/3351
LRI Invest S.A.	/fonds/fondgesellschaften/736
Lupus alpha Investment S.A.	/fonds/fondgesellschaften/444
M&G International	/fonds/fondgesellschaften/578
M&G Investment Funds	/fonds/fondgesellschaften/3524
Magna Europa Fund plc	/fonds/fondgesellschaften/615
MAGNA UMBRELLA FUND	/fonds/fondgesellschaften/3131
MainFirst SICAV	/fonds/fondgesellschaften/609
MANDARINE GESTION Aktiengesellschaft	/fonds/fondgesellschaften/3064
MASTERINVEST Kapitalanlage GmbH	/fonds/fondgesellschaften/3101
MEAG Munich ERGO Kapitalanlagegesellschaft mbH	/fonds/fondgesellschaften/448
MEDIOLANUM INTERNAT. FUNDS LTD	/fonds/fondgesellschaften/631
Meinl Bank AG	/fonds/fondgesellschaften/755
Mellon Global Investments	/fonds/fondgesellschaften/529
Meridio Funds Sicav	/fonds/fondgesellschaften/3065
Meriten Investment Management GmbH	/fonds/fondgesellschaften/3518
Merrill Lynch Invest SAS	/fonds/fondgesellschaften/831
Metzler International Investments plc	/fonds/fondgesellschaften/3135
Metzler Investment GmbH	/fonds/fondgesellschaften/406
Metzler Ireland Ltd.	/fonds/fondgesellschaften/3140
Metzler Strategic Investments Public Limited Company	/fonds/fondgesellschaften/401
MFS Meridian Funds SICAV	/fonds/fondgesellschaften/762
Mi-Fonds (Lux) SICAV	/fonds/fondgesellschaften/3211
Mirova Funds SICAV	/fonds/fondgesellschaften/3447
MK Luxinvest	/fonds/fondgesellschaften/541
Monega Kapitalanlagegesellschaft mbH	/fonds/fondgesellschaften/543
Morgan Stanley Dean Witter	/fonds/fondgesellschaften/476
Morgan Stanley Investment Funds SICAV	/fonds/fondgesellschaften/3154
Morgan Stanley Real Estate Investment GmbH	/fonds/fondgesellschaften/3011
Moventum Plus Aktiv SICAV	/fonds/fondgesellschaften/3539
Multi Units France SICAV	/fonds/fondgesellschaften/1592
Multi Units Luxembourg SICAV	/fonds/fondgesellschaften/2972
MultiConcept Fund Management S.A.	/fonds/fondgesellschaften/801
Natixis International Funds (Dublin) I	/fonds/fondgesellschaften/3108
Natixis International Funds (Lux) I	/fonds/fondgesellschaften/3105
Nestor Investment Management S.A., Luxemburg	/fonds/fondgesellschaften/1590
Neuberger Berman Investment Fund plc	/fonds/fondgesellschaften/3257
Nikko International	/fonds/fondgesellschaften/588
NN Investment Partners Luxembourg S.A.	/fonds/fondgesellschaften/3531
Nomura Asset Management Deutschland KAG mbH	/fonds/fondgesellschaften/3326
Noramco Asset Management S.A.	/fonds/fondgesellschaften/568
NORD/LB Asset Management AG	/fonds/fondgesellschaften/3309
Nordea 1, SICAV	/fonds/fondgesellschaften/532
Nordea 1, SICAV	/fonds/fondgesellschaften/3374
Nordea Fund of Funds, SICAV	/fonds/fondgesellschaften/3439
Nordlux Pro Fondsmanagement	/fonds/fondgesellschaften/3483
Northern Trust Luxembourg Management Company S.A	/fonds/fondgesellschaften/3415
Odey Investment Funds plc	/fonds/fondgesellschaften/3548
Ökovision Lux S.A.	/fonds/fondgesellschaften/425
OpenWorld plc	/fonds/fondgesellschaften/3290
OPPENHEIM ACA CONCEPT Sicav	/fonds/fondgesellschaften/3141
Oppenheim Asset Management Services S.à  r.l.	/fonds/fondgesellschaften/824
Oppenheim KAG	/fonds/fondgesellschaften/394
Ossiam	/fonds/fondgesellschaften/3144
Oyster SICAV	/fonds/fondgesellschaften/553
Paladin Asset Management Investmentaktiengesellschaft TGV	/fonds/fondgesellschaften/3440
Partners Group Listed Investments SICAV	/fonds/fondgesellschaften/3318
Parvest SICAV	/fonds/fondgesellschaften/2996
PBO Sicav	/fonds/fondgesellschaften/3063
PEH SICAV	/fonds/fondgesellschaften/610
PEH-Quintessenz	/fonds/fondgesellschaften/508
Pensato Capital Funds plc	/fonds/fondgesellschaften/3231
Performa Fund SICAV	/fonds/fondgesellschaften/681
Petercam B Fund SICAV	/fonds/fondgesellschaften/3338
Petercam L Fund SICAV	/fonds/fondgesellschaften/3340
PHARMA/wHEALTH Management Company S.A.	/fonds/fondgesellschaften/3027
Pictet Funds (Europe) S.A.	/fonds/fondgesellschaften/3013
Pictet Funds (LUX)	/fonds/fondgesellschaften/1787
Pictet Funds GmbH	/fonds/fondgesellschaften/451
PIMCO Fixed Income Source ETFs plc	/fonds/fondgesellschaften/3028
PIMCO FUNDS: GLOBAL INVESTORS SERIES PLC	/fonds/fondgesellschaften/3079
PIMCO Global Advisors (Ireland) Limited	/fonds/fondgesellschaften/1750
PineBridge Investments Limited	/fonds/fondgesellschaften/850
Pioneer Asset Management S.A.	/fonds/fondgesellschaften/2985
Pioneer Investments	/fonds/fondgesellschaften/418
Pioneer Investments Austria GmbH	/fonds/fondgesellschaften/3087
Platinum UCITS Funds SICAV	/fonds/fondgesellschaften/3516
Polar Capital LLP	/fonds/fondgesellschaften/3382
PORTFOLIO SELECTION SICAV	/fonds/fondgesellschaften/3552
PowerShares Global Funds Ireland plc	/fonds/fondgesellschaften/1594
Principal Capital Management	/fonds/fondgesellschaften/586
Principal Global Investors (Ireland) Limited	/fonds/fondgesellschaften/3484
Pro Fonds (Lux)	/fonds/fondgesellschaften/542
Putnam World Trust II	/fonds/fondgesellschaften/540
PVV SICAV	/fonds/fondgesellschaften/3564
Quest Management SICAV	/fonds/fondgesellschaften/3570
Quint:Essence Capital S.A., L-Munsbach	/fonds/fondgesellschaften/1587
R.I. Vermögensbetreuung AG	/fonds/fondgesellschaften/3580
Raiffeisen Kapitalanlage-Gesellschaft mbH	/fonds/fondgesellschaften/494
Raiffeisen Salzburg Invest Kapitalanlage GmbH	/fonds/fondgesellschaften/3387
Raiffeisen Schweiz (Luxemburg)	/fonds/fondgesellschaften/3508
RBS Market Access SICAV	/fonds/fondgesellschaften/818
RH&PARTNER Investment Funds	/fonds/fondgesellschaften/3015
Richelieu Fd SIVAV	/fonds/fondgesellschaften/3525
Ringturm Kapitalanlagegesellschaft m.b.H.	/fonds/fondgesellschaften/601
Rivoli Fund Management	/fonds/fondgesellschaften/3266
RMF Fund SICAV	/fonds/fondgesellschaften/670
Robeco Capital Growth Funds SICAV	/fonds/fondgesellschaften/3343
